Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2015-10-16,111.78,112.0,110.53,111.04,39232609.0,0.0,1.0,107.5336654952,107.74530806462,106.33115089626999,106.82177685263001,39232609.0
2015-10-15,110.93,112.1,110.49,111.86,37673452.0,0.0,1.0,106.71595556793001,107.84150923253,106.2926704291,107.61062642954,37673452.0
2015-10-14,111.29,111.52,109.56,110.21,44462449.0,0.0,1.0,107.06227977241998,107.28354245863001,105.39799956749,106.02330715894001,44462449.0
2015-10-13,110.82,112.45,110.68,111.79,33049256.0,0.0,1.0,106.61013428321999,108.17821332023,106.47545264814,107.543285612,33049256.0
2015-10-12,112.73,112.75,111.44,111.6,30467204.0,0.0,1.0,108.4475765904,108.46681682398001,107.20658152429,107.36050339296,30467204.0
2015-10-09,110.0,112.28,109.49,112.12,52766140.0,0.0,1.0,105.82128470632,108.01467133478,105.33065874995,107.86074946611001,52766140.0
2015-10-08,110.19,110.19,108.21,109.5,61979577.0,0.0,1.0,106.00406692536,106.00406692536,104.09928380064001,105.34027886675,61979577.0
2015-10-07,111.74,111.77,109.41,110.78,46765550.0,0.0,1.0,107.49518502804001,107.52404537841,105.25369781562,106.57165381605999,46765550.0
2015-10-06,110.63,111.74,109.765,111.31,48856977.0,0.0,1.0,106.42735206418001,107.49518502804001,105.59521196171998,107.081520006,48856977.0
2015-10-05,109.88,111.3698,109.07,110.78,52064743.0,0.0,1.0,105.70584330482001,107.13904830442,104.92661384471,106.57165381605999,52064743.0
2015-10-02,108.01,111.0136,107.55,110.38,58019758.0,0.0,1.0,103.90688146480998,106.7963797443,103.46435609240999,106.1868491444,58019758.0
2015-10-01,109.07,109.62,107.31,109.58,63929100.0,0.0,1.0,104.92661384471,105.45572026824,103.23347328941,105.41723980108,63929100.0
2015-09-30,110.17,111.54,108.73,109.95,65041596.0,0.0,1.0,105.98482669178001,107.30278269221,104.5995298738,105.77318412236001,65041596.0
2015-09-29,112.83,113.51,107.86,109.06,73365384.0,0.0,1.0,108.54377775831,109.19794570013,103.76257971294001,104.91699372792,73365384.0
2015-09-28,113.85,114.57,112.44,112.44,50782189.0,0.0,1.0,109.52502967104,110.21767808003,108.16859320344,108.16859320344,50782189.0
2015-09-25,116.44,116.69,114.02,114.71,56151926.0,0.0,1.0,112.01663992003999,112.25714283982,109.6885716565,110.35235971511001,56151926.0
2015-09-24,113.25,115.5,112.37,115.0,50219475.0,0.0,1.0,108.94782266355,111.11234894164,108.1012523859,110.63134310206001,50219475.0
2015-09-23,113.63,114.72,113.3,114.32,35756716.0,0.0,1.0,109.31338710163,110.3619798319,108.99592324750999,109.97717516023998,35756716.0
2015-09-22,113.38,114.18,112.5201,113.4,50346159.0,0.0,1.0,109.07288418184,109.84249352516,108.24565033894001,109.09212441542,50346159.0
2015-09-21,113.67,115.37,113.66,115.21,50221965.0,0.0,1.0,109.35186756879,110.98728742335,109.34224745200001,110.83336555468,50221965.0
2015-09-18,112.21,114.3,111.87,113.45,74285291.0,0.0,1.0,107.94733051724,109.95793492666,107.62024654633001,109.14022499938,74285291.0
2015-09-17,115.66,116.49,113.715,113.92,64112641.0,0.0,1.0,111.2662708103,112.06474050398998,109.39515809435999,109.59237048858,64112641.0
2015-09-16,116.25,116.54,115.44,116.41,37173489.0,0.0,1.0,111.833857701,112.11284108795,111.05462824088998,111.98777956966002,37173489.0
2015-09-15,115.93,116.53,114.42,116.28,43341155.0,0.0,1.0,111.52601396366998,112.10322097116001,110.07337632816002,111.86271805137,43341155.0
2015-09-14,116.58,116.89,114.86,115.31,58363431.0,0.0,1.0,112.15132155511999,112.44954517565,110.49666146698,110.9295667226,58363431.0
2015-09-11,111.79,114.21,111.76,114.21,49915473.0,0.0,1.0,107.543285612,109.87135387553002,107.51442526161999,109.87135387553002,49915473.0
2015-09-10,110.27,113.2825,109.9,112.57,62892831.0,0.0,1.0,106.08102785969,108.97908804312,105.72508353840999,108.29365472173001,62892831.0
2015-09-09,113.76,114.02,109.77,110.15,85010804.0,0.0,1.0,109.43844861991998,109.6885716565,105.60002202012,105.96558645819,85010804.0
2015-09-08,111.65,112.56,110.32,112.31,54843626.0,0.0,1.0,107.40860397691,108.28403460493999,106.12912844365,108.04353168515,54843626.0
2015-09-04,108.97,110.45,108.51,109.27,49996311.0,0.0,1.0,104.83041267680001,106.25418996194,104.38788730439,105.11901618054002,49996311.0
2015-09-03,112.49,112.78,110.04,110.37,53233940.0,0.0,1.0,108.2166937874,108.49567717434999,105.85976517349,106.1772290276,53233940.0
2015-09-02,110.0,112.34,109.131,112.34,61888812.0,0.0,1.0,105.82128470632,108.07239203553002,104.98529655714,108.07239203553002,61888812.0
2015-09-01,110.18,111.88,107.36,107.72,76845860.0,0.0,1.0,105.99444680857,107.62986666312,103.28157387337,103.62789807786,76845860.0
2015-08-31,112.13,114.53,112.0,112.76,56229271.0,0.0,1.0,107.87036958291,110.17919761286001,107.74530806462,108.47643694077,56229271.0
2015-08-28,112.17,113.31,111.54,113.29,53164407.0,0.0,1.0,107.90885005007,109.00554336430001,107.30278269221,108.98630313071999,53164407.0
2015-08-27,112.25,113.24,110.02,112.92,84616056.0,0.0,1.0,107.9858109844,108.93820254676001,105.84052493989999,108.63035880943,84616056.0
2015-08-26,107.085,109.89,105.05,109.69,96774611.0,0.0,1.0,103.0170206616,105.71546342161,101.05932689454,105.52306108578001,96774611.0
2015-08-25,111.11,111.11,103.5,103.74,103601599.0,0.0,1.0,106.88911767017001,106.88911767017001,99.56820879185601,99.79909159485099,103601599.0
2015-08-24,94.87,108.8,92.0,103.12,162206292.0,0.0,1.0,91.266048000805,104.66687069134001,88.505074481649,99.202644353779,162206292.0
2015-08-21,110.43,111.9,105.645,105.76,128275471.0,0.0,1.0,106.23494972834999,107.6491068967,101.63172384363001,101.74235518673001,128275471.0
2015-08-20,114.08,114.35,111.63,112.65,68501622.0,0.0,1.0,109.74629235725,110.00603551062001,107.38936374333001,108.37061565606,68501622.0
2015-08-19,116.1,116.52,114.68,115.01,48286510.0,0.0,1.0,111.68955594913,112.09360085437001,110.32349936473,110.64096321885,48286510.0
2015-08-18,116.43,117.44,116.01,116.5,34560708.0,0.0,1.0,112.00701980324,112.97865159918001,111.602974898,112.07436062078001,34560708.0
2015-08-17,116.04,117.65,115.5,117.16,40884745.0,0.0,1.0,111.63183524838001,113.1806740518,111.11234894164,112.70928832902,40884745.0
2015-08-14,114.32,116.31,114.01,115.96,42929516.0,0.0,1.0,109.97717516023998,111.89157840175,109.6789515397,111.55487431403999,42929516.0
2015-08-13,116.04,116.4,114.54,115.15,48535789.0,0.0,1.0,111.63183524838001,111.97815945286999,110.18881772965,110.77564485392999,48535789.0
2015-08-12,112.53,115.42,109.63,115.24,101685610.0,0.0,1.0,108.25517425457,111.0353880073,105.46534038504,110.86222590506,101685610.0
2015-08-11,117.81,118.18,113.33,113.49,97082814.0,0.0,1.0,113.33459592047,113.69054024174999,109.02478359788,109.17870546655001,97082814.0
2015-08-10,116.53,119.99,116.53,119.72,54951597.0,0.0,1.0,112.10322097116001,115.43178138101001,112.10322097116001,115.17203822764,54951597.0
